181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000000002	277	320	715	771	415	344	613	533	310	324	282	282
ENSSSCG00000000003	184	241	611	548	252	288	765	681	672	591	599	681
ENSSSCG00000000005	185	250	711	652	621	617	796	656	1195	1072	1077	1041
ENSSSCG00000000006	88	78	331	289	371	395	539	505	1635	1160	1596	1185
ENSSSCG00000000007	62	84	169	155	186	202	274	354	349	336	340	297
ENSSSCG00000000010	9512	7852	28395	31039	6189	5349	24884	19292	2780	4058	4985	3160
ENSSSCG00000000014	273	309	729	764	345	452	1618	1556	567	584	547	575
ENSSSCG00000000018	469	508	2345	1830	391	465	3788	2940	1096	991	1007	1018
ENSSSCG00000000019	1930	1895	3621	3599	2418	2402	5838	4632	3067	3182	3196	2935
ENSSSCG00000000020	6	7	120	179	4	9	117	104	16	8	7	14
ENSSSCG00000000021	19	12	83	58	8	4	81	53	1	2	4	1
ENSSSCG00000000022	1426	1702	4390	3775	2617	2317	3673	3344	2878	3279	3383	2978
ENSSSCG00000000024	97	124	290	242	50	101	312	312	576	140	197	319
ENSSSCG00000000025	32	32	109	78	41	31	227	334	73	78	72	80
ENSSSCG00000000026	15	26	151	157	5	3	72	47	2	2	0	1
ENSSSCG00000000028	2	0	5	3	1	2	12	14	7	1	1	1
ENSSSCG00000000029	1047	944	9120	12352	1044	879	7542	9654	745	770	941	760
ENSSSCG00000000031	108	126	378	379	210	204	409	400	290	286	264	237
ENSSSCG00000000033	438	712	2738	2105	1124	1357	1295	1103	342	884	510	397
ENSSSCG00000000034	3993	4443	9397	8352	8134	6343	7561	6803	3576	5752	4745	4252
ENSSSCG00000000035	807	1019	1895	1767	1160	1017	2658	2027	906	1269	1095	933
ENSSSCG00000000036	1288	1612	3562	3152	1408	1442	4201	3615	3016	2740	2813	2883
ENSSSCG00000000037	1141	1152	1907	2112	1871	2144	4554	3627	2963	2881	2969	2852
ENSSSCG00000000038	2663	2794	6853	6338	5550	5739	6639	6006	4075	5692	4895	4592
ENSSSCG00000000039	3204	3681	7721	7137	5272	4236	8132	7438	5749	5693	6162	5655
ENSSSCG00000000040	359	406	1589	1647	162	135	950	796	89	134	145	86
ENSSSCG00000000045	851	884	931	800	1041	989	1415	1198	1402	1478	1149	1445
ENSSSCG00000000046	58	147	260	258	49	47	133	80	17	43	36	23
ENSSSCG00000000050	741	777	2940	2852	1253	1307	3355	3400	1720	1722	1776	1816
ENSSSCG00000000058	5422	7348	11088	10663	8890	7130	10828	9521	6895	8186	8067	8757
ENSSSCG00000000059	2088	2395	2905	2940	2641	2231	4131	3193	2021	2605	2364	2318
ENSSSCG00000000061	280	359	854	833	538	548	1391	1309	776	1080	904	797
ENSSSCG00000000062	1561	1838	1884	1840	3111	2650	1101	960	960	2559	1720	1232
ENSSSCG00000000063	277	260	711	630	494	489	810	875	573	710	611	654
ENSSSCG00000000064	2940	3195	5141	4693	9590	8770	7058	6176	18499	14018	15787	15657
ENSSSCG00000000066	1025	985	1479	1474	1366	1142	1715	1337	1147	1319	1524	1096
